Removed Pin From Net: NetName=1WIRE_BUS Pin=D7-3
Removed Pin From Net: NetName=UART.RX Pin=R43-1
Removed Pin From Net: NetName=1WIRE_BUS Pin=R43-2
Removed Pin From Net: NetName=GND Pin=R56-1
Removed Pin From Net: NetName=GND Pin=R58-1
Removed Pin From Net: NetName=GND Pin=R59-1
Removed Pin From Net: NetName=1WIRE_BUS Pin=U7-2
Removed Member From Class: ClassName=1Wire Member=D7
Removed Member From Class: ClassName=1Wire Member=R43
Change Component Footprint: Designator=J1 Old Footprint=DF40HC(3.0)-100DS-0.4V(51-Footprint-1 New Footprint=DF40HC(3.0)-100DS-0.4V(51-Footprint-1
Change Component Footprint: Designator=J2 Old Footprint=DF40HC(3.0)-100DS-0.4V(51-Footprint-1 New Footprint=DF40HC(3.0)-100DS-0.4V(51-Footprint-1
Change Component Footprint: Designator=R43 Old Footprint=SMD_RES_0402(1005)_N New Footprint=SMD_RES_2512(6432)_N
Change Component Footprint: Designator=D7 Old Footprint=SOT23-3 New Footprint=LED_3MM_SPACED_6.4MM_BLUE
Change Component Comment : Designator=J11 Old Comment=C71827 New Comment=B2100S40PE000
Change Component Comment : Designator=D7 Old Comment=LBAT54ALT1G New Comment=TJ-L3FYTGCBMCGSFLC6B-A5
Change Component Comment : Designator=R43 Old Comment=RC0402FR-070RL New Comment=AC2512FK-07470RL
Change Managed Component Library Link : Designator=J1 Old VaultGUID=D814680C-BF6A-48BF-A460-F1E8172B4765 New VaultGUID=D814680C-BF6A-48BF-A460-F1E8172B4765 Old ItemGUID=30d6e968-bd07-405d-aeff-92325dd631e9 New ItemGUID=30d6e968-bd07-405d-aeff-92325dd631e9 Old RevisionGUID=abb70f75-5808-4815-97cc-c6b55b50e4a6 New RevisionGUID=e82a4879-8232-478d-abe3-1a5de26feeaf
Change Managed Component Library Link : Designator=J2 Old VaultGUID=D814680C-BF6A-48BF-A460-F1E8172B4765 New VaultGUID=D814680C-BF6A-48BF-A460-F1E8172B4765 Old ItemGUID=30d6e968-bd07-405d-aeff-92325dd631e9 New ItemGUID=30d6e968-bd07-405d-aeff-92325dd631e9 Old RevisionGUID=abb70f75-5808-4815-97cc-c6b55b50e4a6 New RevisionGUID=e82a4879-8232-478d-abe3-1a5de26feeaf
Change component parameters: Designator = "R43" ("R43"); Footprint = "SMD_RES_0402(1005)_N"; UniqueID = "\TKWWRQBJ\IQZFYCUO" ("\TKWWRQBJ\IQZFYCUO")
Added Component: Designator=J26_1(3MM_LED_SPACER_6.4MM)
Added Component: Designator=J26_2(3MM_LED_SPACER_6.4MM)
Added Component: Designator=J26_3(3MM_LED_SPACER_6.4MM)
Added Component: Designator=J26_4(3MM_LED_SPACER_6.4MM)
Added Component: Designator=J26_5(3MM_LED_SPACER_6.4MM)
Added Component: Designator=J26_6(3MM_LED_SPACER_6.4MM)
Added Component: Designator=J26_7(3MM_LED_SPACER_6.4MM)
Added Component: Designator=J26_8(3MM_LED_SPACER_6.4MM)
Added Component: Designator=J26_9(3MM_LED_SPACER_6.4MM)
Added Component: Designator=J26_10(3MM_LED_SPACER_6.4MM)
Added Component: Designator=K1_1(HF3FA/012-ZST)
Added Component: Designator=K1_2(HF3FA/012-ZST)
Added Component: Designator=K1_3(HF3FA/012-ZST)
Added Component: Designator=K1_4(HF3FA/012-ZST)
Added Component: Designator=Q1_1(TO-252)
Added Component: Designator=Q1_2(TO-252)
Added Component: Designator=Q1_3(TO-252)
Added Component: Designator=Q1_4(TO-252)
Added Component: Designator=Q1_5(TO-252)
Added Component: Designator=Q1_6(TO-252)
Added Component: Designator=Q2_1(SOT23-3)
Added Component: Designator=Q2_2(SOT23-3)
Added Component: Designator=Q2_3(SOT23-3)
Added Component: Designator=Q2_4(SOT23-3)
Added Component: Designator=Q2_5(SOT23-3)
Added Component: Designator=Q2_6(SOT23-3)
Added Component: Designator=Q3(SOT23-3)
Added Component: Designator=Q4_1(SOT23-3)
Added Component: Designator=Q4_2(SOT23-3)
Added Component: Designator=Q4_3(SOT23-3)
Added Component: Designator=Q4_4(SOT23-3)
Added Component: Designator=Q5_1(SOT23-3)
Added Component: Designator=Q5_2(SOT23-3)
Added Component: Designator=Q5_3(SOT23-3)
Added Component: Designator=Q5_4(SOT23-3)
Added Component: Designator=Q6(SOT23-3)
Added Component: Designator=Q7_1(SOT23-3)
Added Component: Designator=Q7_2(SOT23-3)
Added Component: Designator=Q7_3(SOT23-3)
Added Component: Designator=Q7_4(SOT23-3)
Added Component: Designator=Q7_5(SOT23-3)
Added Component: Designator=Q7_6(SOT23-3)
Added Component: Designator=Q7_7(SOT23-3)
Added Component: Designator=Q7_8(SOT23-3)
Added Component: Designator=Q7_9(SOT23-3)
Added Component: Designator=Q7_10(SOT23-3)
Added Component: Designator=R65_1(SMD_RES_0402(1005)_N)
Add component (AddParameter): Name = "Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1/16W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "100K"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R65_2(SMD_RES_0402(1005)_N)
Add component (AddParameter): Name = "Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1/16W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "100K"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R65_3(SMD_RES_0402(1005)_N)
Add component (AddParameter): Name = "Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1/16W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "100K"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R65_4(SMD_RES_0402(1005)_N)
Add component (AddParameter): Name = "Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1/16W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "100K"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R65_5(SMD_RES_0402(1005)_N)
Add component (AddParameter): Name = "Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1/16W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "100K"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R65_6(SMD_RES_0402(1005)_N)
Add component (AddParameter): Name = "Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1/16W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "100K"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R66_1(SMD_RES_0402(1005)_N)
Add component (AddParameter): Name = "Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1/16W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "10K"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R66_2(SMD_RES_0402(1005)_N)
Add component (AddParameter): Name = "Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1/16W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "10K"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R66_3(SMD_RES_0402(1005)_N)
Add component (AddParameter): Name = "Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1/16W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "10K"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R66_4(SMD_RES_0402(1005)_N)
Add component (AddParameter): Name = "Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1/16W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "10K"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R66_5(SMD_RES_0402(1005)_N)
Add component (AddParameter): Name = "Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1/16W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "10K"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R66_6(SMD_RES_0402(1005)_N)
Add component (AddParameter): Name = "Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1/16W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "10K"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R67_1(SMD_RES_0402(1005)_N)
Add component (AddParameter): Name = "Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "470R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R67_2(SMD_RES_0402(1005)_N)
Add component (AddParameter): Name = "Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "470R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R67_3(SMD_RES_0402(1005)_N)
Add component (AddParameter): Name = "Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "470R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R67_4(SMD_RES_0402(1005)_N)
Add component (AddParameter): Name = "Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "470R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R67_5(SMD_RES_0402(1005)_N)
Add component (AddParameter): Name = "Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "470R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R67_6(SMD_RES_0402(1005)_N)
Add component (AddParameter): Name = "Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "470R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R68_1(SMD_RES_0402(1005)_N)
Add component (AddParameter): Name = "Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1/16W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "10K"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R68_2(SMD_RES_0402(1005)_N)
Add component (AddParameter): Name = "Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1/16W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "10K"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R68_3(SMD_RES_0402(1005)_N)
Add component (AddParameter): Name = "Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1/16W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "10K"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R68_4(SMD_RES_0402(1005)_N)
Add component (AddParameter): Name = "Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1/16W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "10K"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R68_5(SMD_RES_0402(1005)_N)
Add component (AddParameter): Name = "Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1/16W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "10K"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R68_6(SMD_RES_0402(1005)_N)
Add component (AddParameter): Name = "Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1/16W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "10K"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R69_1(SMD_RES_0402(1005)_N)
Add component (AddParameter): Name = "Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1/16W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "100K"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R69_2(SMD_RES_0402(1005)_N)
Add component (AddParameter): Name = "Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1/16W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "100K"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R69_3(SMD_RES_0402(1005)_N)
Add component (AddParameter): Name = "Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1/16W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "100K"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R69_4(SMD_RES_0402(1005)_N)
Add component (AddParameter): Name = "Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1/16W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "100K"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R69_5(SMD_RES_0402(1005)_N)
Add component (AddParameter): Name = "Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1/16W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "100K"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R69_6(SMD_RES_0402(1005)_N)
Add component (AddParameter): Name = "Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1/16W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "100K"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R70(SMD_RES_2512(6432)_N)
Add component (AddParameter): Name = "Package"; Value = "2512"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "470R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R71(SMD_RES_0402(1005)_N)
Add component (AddParameter): Name = "Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1/16W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "10K"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R72(SMD_RES_0402(1005)_N)
Add component (AddParameter): Name = "Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1/16W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "0R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R73_1(SMD_RES_2512(6432)_N)
Add component (AddParameter): Name = "Package"; Value = "2512"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "470R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R73_2(SMD_RES_2512(6432)_N)
Add component (AddParameter): Name = "Package"; Value = "2512"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "470R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R73_3(SMD_RES_2512(6432)_N)
Add component (AddParameter): Name = "Package"; Value = "2512"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "470R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R73_4(SMD_RES_2512(6432)_N)
Add component (AddParameter): Name = "Package"; Value = "2512"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "470R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R74_1(SMD_RES_0402(1005)_N)
Add component (AddParameter): Name = "Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1/16W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "10K"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R74_2(SMD_RES_0402(1005)_N)
Add component (AddParameter): Name = "Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1/16W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "10K"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R74_3(SMD_RES_0402(1005)_N)
Add component (AddParameter): Name = "Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1/16W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "10K"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R74_4(SMD_RES_0402(1005)_N)
Add component (AddParameter): Name = "Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1/16W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "10K"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R75_1(SMD_RES_0402(1005)_N)
Add component (AddParameter): Name = "Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1/16W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "100K"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R75_2(SMD_RES_0402(1005)_N)
Add component (AddParameter): Name = "Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1/16W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "100K"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R75_3(SMD_RES_0402(1005)_N)
Add component (AddParameter): Name = "Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1/16W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "100K"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R75_4(SMD_RES_0402(1005)_N)
Add component (AddParameter): Name = "Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1/16W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "100K"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R76_1(SMD_RES_2512(6432)_N)
Add component (AddParameter): Name = "Package"; Value = "2512"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "470R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R76_2(SMD_RES_2512(6432)_N)
Add component (AddParameter): Name = "Package"; Value = "2512"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "470R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R76_3(SMD_RES_2512(6432)_N)
Add component (AddParameter): Name = "Package"; Value = "2512"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "470R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R76_4(SMD_RES_2512(6432)_N)
Add component (AddParameter): Name = "Package"; Value = "2512"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "470R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R77_1(SMD_RES_0402(1005)_N)
Add component (AddParameter): Name = "Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1/16W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "10K"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R77_2(SMD_RES_0402(1005)_N)
Add component (AddParameter): Name = "Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1/16W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "10K"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R77_3(SMD_RES_0402(1005)_N)
Add component (AddParameter): Name = "Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1/16W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "10K"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R77_4(SMD_RES_0402(1005)_N)
Add component (AddParameter): Name = "Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1/16W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "10K"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R78_1(SMD_RES_2512(6432)_N)
Add component (AddParameter): Name = "Package"; Value = "2512"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "47R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R78_2(SMD_RES_2512(6432)_N)
Add component (AddParameter): Name = "Package"; Value = "2512"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "47R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R78_3(SMD_RES_2512(6432)_N)
Add component (AddParameter): Name = "Package"; Value = "2512"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "47R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R78_4(SMD_RES_2512(6432)_N)
Add component (AddParameter): Name = "Package"; Value = "2512"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "47R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Added Component: Designator=R79(SMD_RES_0402(1005)_N)
Add component (AddParameter): Name = "Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1/16W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "10K"; VariantName = "[No Variations]"
